0,0,0,0,0,0,0,0,0,0,0,0,0,7.20853900051888,7.39827039407046,5.82279598281482,5.60473606429548,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4.89440730662668,0,0,0,3.92177493920873,3.71689830370433,6.93972924014413
4.48655115838296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35528528053817,0,0
0,5.33297667678447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.17278273114065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95213923207353,0
0,0,0,2.92639123769673,0,0,0,0,0,0,0,0,0,0,3.24937287425123,0,0,0,0,2.39506069879425
0,0,0,0,2.66780250403454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,7.58395178608411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.95885693328737,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7.90364705799233,0,0,0,0,0,0,0,7.28933415674796,0,0,0,0
0,0,0,0,0,0,0,0,2.70714957136373,0,0,0,0,0,0,0,3.5170773168463,0,0,0
0,0,0,0,0,0,0,0,0,2.35948992742343,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.87989284508065,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.11223349001032,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,21.6883917421604,0,0,0,0,0,0,0
