5.8895463014323,0,0,0,0,0,0,0,0,0,0,0,0,5.8895463782483,0,5.88954632428301,5.88954635803309,0,0,0,0,5.88954630308797,0,0,5.889546309776
0,5.37211461628728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37211456567375,0,5.37211467473481,5.37211461640352,0,5.37211466301045,5.37211464852661,0,5.37211457399459
0,0,3.40787711080091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4078770735818,0,0,0,3.40787711543665
0,0,0,9.16127876157303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3.13496107464973,0,0,0,0,0,0,0,0,0,3.13496107278307,0,0,0,0,3.13496106984687,0,3.13496108104206,0,0,3.13496105729699
0,0,0,0,0,0,0,0,0,0,0,0,0,1.53237031981211,0,0,1.53237032715954,0,0,0,1.53237031495733,1.53237031463279,0,0,1.53237032667386
0,0,0,0,0,4.48947411438215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5.73778512921785,0,0,0,0,0,0,5.73778514550294,0,5.73778509016826,5.73778512614091,0,0,0,0,5.7377851560583,0,0,5.73778513055411
0,0,0,0,0,0,0,2.65444555107727,0,0,0,0,0,0,2.6544455499526,0,0,0,0,0,0,0,2.65444555030315,0,2.65444555066928
0,0,0,0,0,0,0,0,0,0,0,0,0,6.63555588255235,0,6.63555588055997,6.63555588844506,0,0,0,0,0,0,6.63555587505846,6.63555589226745
0,0,0,0,0,0,0,0,2.4719314741049,0,0,0,0,0,0,0,2.47193147620681,0,0,2.47193147557082,0,2.47193147397426,0,0,2.47193147547041
0,0,0,0,0,0,0,0,0,2.3138800838217,0,0,0,0,0,0,0,2.31388006800818,0,0,0,0,0,2.31388007900192,2.31388007036793
0,0,0,0,0,0,0,0,0,0,6.33372925747945,0,0,0,0,0,0,0,6.33372924804391,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.00780020700342,0,0,0,0,0,6.00780020821736,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,15.5897355348925,0,0,0,0,0,0,0,0,0,0,0,0
