0,0,0,0,5.687153177835,0,0,0,0,5.68715320395307,5.68715322631997,0,0,0,0,5.68715327910355,0,5.68715318644079,0,0,5.68715326591548,0,5.68715326669817,0,0,0,0,5.68715315510366,0,0,0,5.68715315566839
0,0,5.11172590562568,0,0,0,0,0,0,0,5.11172590393151,0,5.11172589279325,0,5.11172590589269,0,0,5.11172590683761,5.11172589647597,5.11172590005264,0,0,5.11172590081955,5.11172589157179,0,5.11172589437122,0,5.11172590407417,0,0,0,5.11172590480986
0,3.10905919937953,0,0,0,0,0,0,0,0,0,0,0,3.10905919903365,0,0,0,3.1090592162678,0,0,3.10905919638955,0,3.10905919974089,3.10905919802536,0,0,3.10905920360964,0,0,0,0,3.10905919136548
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2050299990942,0,0,0,0,0,0,0
0,0,0,0,0,2.92514855916444,0,0,0,0,0,0,0,0,0,0,0,2.92514856364244,2.92514855884091,2.92514855890425,0,0,2.92514856090548,2.92514855888606,0,2.92514855882962,2.92514855883058,2.92514855901666,0,0,0,2.92514856510058
0,0,0,0,1.45091263707504,0,0,1.45091263575899,0,0,1.45091263548094,0,0,1.45091263697772,0,0,0,1.45091263718674,0,0,1.45091263453132,0,1.45091263700303,1.45091263581794,0,1.45091263564102,0,0,0,0,0,1.45091263518519
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30770306647913,0,2.30770306706473,0,2.30770306671107,0,0,0,2.30770306690339,0,2.30770306806673
0,0,0,0,5.52759920660415,0,0,0,5.52759922080975,5.52759919214353,5.52759920547632,0,0,0,0,0,0,5.52759922667862,0,0,5.5275991654717,0,5.52759922034402,0,0,0,0,5.52759921950172,0,0,0,5.52759920277731
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57628402719173,0,0,2.57628402632011,0,2.57628402670397,0,2.57628402638583,0,2.57628402549242,0,2.57628402603504,0,0,0,0,0,2.57628402764295
0,0,0,0,6.54337890845253,0,0,0,0,6.54337883817946,6.54337886986515,0,0,0,0,0,6.54337888331483,6.54337888883608,0,0,6.54337882479994,0,0,0,0,0,0,0,0,0,0,6.54337884510004
0,0,0,0,0,0,2.34153916737618,0,0,0,2.34153916762223,0,0,0,0,0,0,2.34153916913425,0,0,0,0,2.34153916726445,2.34153916721518,0,2.34153916775527,0,2.34153916912028,0,0,2.34153916819179,2.34153916976314
2.17110963968372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17110964082596,2.17110963836572,0,0,0,0,2.17110963857557,0,2.17110964152088,0,0,0,0,0,2.17110964461585,2.17110963896251
0,0,0,6.26180031943865,0,0,0,0,0,0,0,0,6.26180031558789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.33607856130071,0,0,0,0,0,0,0,0,0,0,0,0,5.33607857611357,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5897354158678,0,0,0
