Eh,Efe,Csy,Bt,Cc,Bp,Csc,Efm,Chy,Efs,Cha,Bf,Fp,Bu,Pd
0.0000,0.5561,0.0375,0.2155,0.0034,0.0081,0.0026,0.0000,0.0000,0.0000,0.0000,0.1053,0.0138,0.0000,0.0576
0.0000,0.5842,0.0567,0.1790,0.0041,0.0182,0.0024,0.0000,0.0000,0.0000,0.0000,0.1102,0.0144,0.0000,0.0307
0.0000,0.5935,0.0568,0.1871,0.0035,0.0147,0.0033,0.0000,0.0000,0.0000,0.0000,0.0917,0.0137,0.0000,0.0356
0.0000,0.0000,0.0524,0.0022,0.0367,0.2844,0.0053,0.0000,0.0142,0.0000,0.0000,0.5910,0.0132,0.0000,0.0006
0.0000,0.0000,0.0515,0.0015,0.0564,0.1667,0.0049,0.0000,0.0123,0.0000,0.0000,0.6921,0.0135,0.0000,0.0011
0.0000,0.0000,0.0534,0.0015,0.0437,0.2340,0.0042,0.0000,0.0128,0.0000,0.0000,0.6378,0.0119,0.0000,0.0007
0.0000,0.0000,0.0707,0.0009,0.0394,0.0000,0.0151,0.0000,0.0028,0.0000,0.2080,0.6483,0.0148,0.0000,0.0000
0.0000,0.0000,0.0619,0.0000,0.0403,0.0000,0.0180,0.0000,0.0046,0.0000,0.2429,0.6196,0.0126,0.0000,0.0000
0.0000,0.0000,0.0595,0.0012,0.0409,0.0000,0.0137,0.0000,0.0036,0.0000,0.2570,0.6136,0.0104,0.0000,0.0001
0.4232,0.0000,0.1124,0.0021,0.0147,0.0111,0.0101,0.0000,0.0000,0.0000,0.0000,0.0235,0.3748,0.0240,0.0040
0.0995,0.0000,0.1823,0.0016,0.0252,0.0053,0.0048,0.0000,0.0000,0.0000,0.0000,0.0653,0.5956,0.0065,0.0138
0.1392,0.0000,0.1997,0.0039,0.0260,0.0071,0.0054,0.0000,0.0000,0.0000,0.0000,0.0469,0.5523,0.0093,0.0101
