0,0,0,0,0,0,0,0,0,0,0,0,8.09724719229461,8.09724719953104,8.09724719660498,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18202474207805,7.18202456121752,7.18202469265033,7.18202468700703,7.18202469142047,7.18202465382852,0
5.18276473504031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18276473066301,0,0,0,0,0,5.18276472092511
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89602948870409
0,5.71059967369976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71059966848392,0,0,0,0,0
0,0,2.49022073379972,0,0,0,0,0,0,0,0,0,2.49022072158011,0,0,0,0,2.49022072403041,0,0,0,0
0,0,0,3.74173177054385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9.88112959360387,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8811297248989,0,0,0
0,0,0,0,0,5.2022780867425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11.0184890573354,0,0,0,0,0,0,11.0184890615929,0,0,0,0,0,11.0184890628507,0,0
0,0,0,0,0,0,0,3.96312622847422,0,0,0,0,0,0,3.96312622733429,0,0,0,0,0,3.96312622332376,0
0,0,0,0,0,0,0,0,3.32292034576659,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.63106277027986,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5.83045004648689,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,15.5563415268629,0,0,0,0,0,0,0,0,0,0
