,Leaf1,Leaf10,Leaf11,Leaf126,Leaf127,Leaf129,Leaf13,Leaf130,Leaf131,Leaf132,Leaf137,Leaf139,Leaf141,Leaf145,Leaf148,Leaf15,Leaf151,Leaf154,Leaf155,Leaf159,Leaf16,Leaf160,Leaf161,Leaf164,Leaf167,Leaf168,Leaf17,Leaf170,Leaf171,Leaf172,Leaf176,Leaf177,Leaf179,Leaf180,Leaf182,Leaf183,Leaf185,Leaf186,Leaf187,Leaf189,Leaf191,Leaf194,Leaf196,Leaf198,Leaf2,Leaf20,Leaf201,Leaf202,Leaf203,Leaf205,Leaf208,Leaf21,Leaf210,Leaf216,Leaf22,Leaf220,Leaf222,Leaf225,Leaf226,Leaf23,Leaf230,Leaf231,Leaf233,Leaf234,Leaf24,Leaf242,Leaf244,Leaf245,Leaf247,Leaf248,Leaf25,Leaf250,Leaf254,Leaf257,Leaf258,Leaf26,Leaf261,Leaf262,Leaf263,Leaf264,Leaf265,Leaf267,Leaf272,Leaf274,Leaf278,Leaf28,Leaf280,Leaf283,Leaf285,Leaf288,Leaf289,Leaf29,Leaf291,Leaf294,Leaf296,Leaf299,Leaf3,Leaf30,Leaf304,Leaf306,Leaf307,Leaf311,Leaf313,Leaf314,Leaf32,Leaf320,Leaf321,Leaf324,Leaf325,Leaf326,Leaf33,Leaf334,Leaf335,Leaf336,Leaf337,Leaf339,Leaf34,Leaf341,Leaf343,Leaf344,Leaf347,Leaf350,Leaf351,Leaf354,Leaf357,Leaf359,Leaf363,Leaf369,Leaf37,Leaf371,Leaf374,Leaf38,Leaf380,Leaf383,Leaf384,Leaf386,Leaf391,Leaf394,Leaf395,Leaf396,Leaf4,Leaf400,Leaf401,Leaf404,Leaf405,Leaf406,Leaf407,Leaf41,Leaf412,Leaf415,Leaf42,Leaf420,Leaf427,Leaf434,Leaf436,Leaf44,Leaf443,Leaf446,Leaf453,Leaf454,Leaf460,Leaf48,Leaf49,Leaf5,Leaf50,Leaf51,Leaf53,Leaf58,Leaf59,Leaf61,Leaf62,Leaf64,Leaf67,Leaf68,Leaf69,Leaf7,Leaf70,Leaf72,Leaf73,Leaf75,Leaf76,Leaf78,Leaf8,Leaf82,Leaf83,Leaf84,Leaf9,Leaf98
Leaf2,-5,-5,1.837220795,-5,-4.805419487,-5,-5,-5,-5,-5,-5,0.732517224,-5,-1.717926389,-5,0.425386215,1.119612782,-5,-2.295721286,-5,1.226748695,-5,-4.448955112,1.503392168,-2.222257273,0.093937942,-5,0.958880625,-5,1.452739949,0.493508598,-4.475029399,1.092583317,0.034286546,0.319626067,-5,-5,1.620017386,-5,-2.270355293,-4.597567173,-1.863034207,-5,-5,NaN,1.916300175,0.333802157,-1.038703427,1.016435426,0.929463666,-5,-4.90362497,0.97147944,0.67483351,-5,0.506323956,-0.774100838,-5,-5,1.751027414,-1.023993235,-5,-5,0.856570343,-4.936499271,0.950572293,-0.312979085,0.91578345,0.952883409,1.142627689,1.091475341,-1.812161666,0.808521255,-4.640344324,1.164071992,-5,1.575595411,-5,1.49503482,1.145217214,1.656526499,-5,0.960069171,-5,-5,-1.675493474,0.044252291,1.084038021,1.271180139,-5,-1.901817017,-5,0.895475291,-5,1.120816871,1.19340376,-5,-5,1.485875377,-5,-0.095871148,-2.343246395,1.209646187,-5,1.480970359,-3.68532081,-0.26195425,-4.361952697,-3.657174453,-5,1.554875092,0.890172783,-5,-3.855140717,0.536220103,-5,-5,-2.157491542,-3.574230834,-5,1.198301662,0.714426727,1.09110335,-0.380306762,-5,-5,-4.999254892,0.939235943,-5,0.09972212,-4.672514567,1.004410945,1.113246682,-5,-5,-5,-4.709671165,0.27130106,-4.254478522,-3.214284739,1.877419835,-0.301241788,-1.962748154,-5,-2.628217924,1.057540978,-5,-5,0.217618463,-5,-5,0.565165324,-5,-5,1.135842666,-5,-5,0.46058659,-5,-4.208674975,-4.669442129,-5,1.059664182,-4.042727111,1.386009816,0.875872507,-0.621114598,-2.95397273,-5,-5,-5,-2.219183001,1.757326857,-1.557607238,1.657087847,0.234686917,0.11710806,1.308695386,-5,-0.692513717,-5,-5,1.368115441,-5,-5,-5,-5,-1.184544992
Leaf20,-5,-5,0.08928021,-5,-5,-5,-5,-1.681018864,-5,-5,-5,-2.442376585,-1.724357705,-2.762690228,-5,-0.218409964,-1.62876219,-0.987912774,-4.022181457,-5,0.191636224,-5,-5,-0.988135992,-3.953528929,-2.179887264,-5,-2.391568525,-5,-0.361413367,-0.364892991,-1.292060165,-5,-0.150347349,-2.58896837,-0.91974472,-5,-1.354251186,-0.16851969,-2.930796794,-2.363209986,-3.072761588,0.249454475,-0.041593195,-2.821498575,NaN,0.129069512,-4.45225256,0.070513014,-1.470348031,-0.009346785,-5,0.15010276,-2.053396334,-2.236757018,-1.613350006,-2.7237297,-5,-1.857962992,-0.508584252,-0.277344314,-0.277344314,-5,-5,-2.047249655,-3.098839306,-2.46271092,-1.690356755,-1.943067375,-1.671612365,0.105339766,-3.010556725,-1.780052163,-0.947102099,-2.515782619,-0.911311471,-0.840694475,-5,-0.712102643,0.179694012,-5,-5,-2.32643344,-5,-2.358070993,-4.208930047,0.151778406,-1.897340497,-2.299454979,-2.667653998,-2.233661543,-1.625607239,-2.464988463,-0.85658747,-1.897688329,-1.85941356,-5,-2.204176482,-0.782343282,-5,-2.822798631,-3.772508538,0.096521011,-5,0.102680559,-3.130633135,-4.063951749,-5,-3.176146829,-0.484963584,0.047195947,-2.144274728,-5,-5,0.103495569,-0.735246314,-0.293798318,-4.432826409,-5,-5,-0.232451472,-0.808380677,-1.448610219,-2.44755289,0.021048175,-5,-0.277344314,-1.164449679,-5,-2.056597027,-5,-2.172923954,-1.632345557,-5,-5,-0.912355349,-0.810121806,0.017137458,-5,-5,-5,-1.502740899,-5,-5,-0.812514124,-1.690829973,-1.503888034,0.055996648,-0.277344314,-5,-5,-2.759399577,-5,-5,-1.320479568,-5,-5,0.113634535,-5,-5,-5,-5,-1.000312825,0.029095285,0.06661567,-1.62516101,-1.70719871,-2.5560837,-5,-5,-5,-2.75782813,-0.277344314,-2.930669999,-3.204006575,-2.683232014,-2.932324279,0.56976011,-5,-4.27342105,-5,-5,-1.403103989,-2.257056412,-2.65879029,-5,-0.570482737,-0.318994928
Leaf201,0.293252528,-0.017919828,-5.23E-05,0.293252528,0.293252528,0.293252528,0.293252528,0.926196728,0.293252528,0.293252528,0.293252528,0.293252528,0.293252528,0.293252528,0.293252528,0.293252528,-2.81E-13,-6.95E-13,0.293252528,0.293252528,0.293252528,-5,0.293252528,-1.32E-13,0.293252528,-4.98E-13,-0.020898703,0.293252528,0.293252528,-0.151781008,0.293252528,-0.039191873,-5.23E-05,0.060235595,0.900295872,-4.84E-13,3.20E-16,0.293252528,-5,0.270592782,0.381706393,0.293252528,-5,0.048932615,0.381706393,0.048932615,NaN,0.293252528,0.293252528,-2.23E-13,-5.02E-13,0.048932615,0.293252528,0.293252528,-0.27299548,0.900295872,0.293252528,0.293252528,0.293252528,-5.23E-05,0.048932615,-4.78E-13,0.293252528,0.293252528,-0.27299548,0.293252528,-2.00E-13,-2.01E-13,0.293252528,0.293252528,-4.56E-13,0.293252528,0.293252528,0.293252528,0.293252528,0.293252528,-2.05E-13,0.900295872,-0.272518569,-2.01E-13,0.381706393,0.381706393,-1.93E-13,0.381706393,0.293252528,0.293252528,0.293252528,-1.97E-13,0.293252528,-5.23E-05,-1.93E-13,0.293252528,-1.96E-13,0.293252528,0.293252528,0.293252528,-1.93E-13,-0.078325934,-2.05E-13,0.215262447,0.293252528,0.926196728,-5,0.293252528,-4.33E-13,0.293252528,0.293252528,0.293252528,0.293252528,-2.21E-13,-5.23E-05,0.293252528,0.293252528,0.293252528,0.293252528,-5.23E-05,0.293252528,0.293252528,0.381706393,0.293252528,-2.94E-13,-9.11E-14,-2.01E-13,0.293252528,-4.93E-13,-5,0.293252528,-2.12E-13,0.048932615,0.381706393,0.293252528,-4.97E-13,-1.99E-13,-5,0.293252528,0.293252528,0.293252528,-0.04781629,-5.23E-05,0.293252528,-2.33E-13,-0.008463686,0.293252528,-5,-1.057122919,0.900295872,0.293252528,0.293252528,0.293252528,0.293252528,-0.015170337,-2.01E-13,0.926196728,0.293252528,0.293252528,-0.48307814,-4.711362074,-1.94E-13,0.293252528,0.293252528,0.926196728,-4.430618742,-8.52E-14,-4.59E-13,0.293252528,0.293252528,0.192820168,0.293252528,-2.316797042,0.293252528,-0.27299548,0.293252528,-2.20E-06,0.293252528,-5.23E-05,0.293252528,0.381706393,0.293252528,0.381706393,0.293252528,-5,-5,0.293252528,0.293252528,0.293252528,-5,0.048932615,0.293252528
Leaf202,0.173488588,0.246049443,0.360180778,0.277805696,0.277805696,-3.187372457,0.277805696,0.005977239,-0.148204051,-0.233942631,-0.41059587,0.126355623,0.255786578,-4.202060532,0.361962519,0.241545163,0.199857432,0.091409052,-5,-1.430240074,0.002565566,-5,0.252530779,0.091409052,-5,0.105626288,0.254442889,-0.022795911,0.240092028,0.159076914,0.256850571,-0.326858246,0.244268869,-0.442954486,-0.004580393,0.042230523,-5,-0.119879044,-5,-0.414838285,0.373036491,0.283678111,-5,0.254982375,0.288305886,0.300581673,-0.409873243,NaN,0.002820367,-0.004080237,0.253220705,-0.148204051,-5,-0.019241184,-0.148204051,0.051599703,-0.148204051,0.257477713,0.342934205,0.362490458,-0.004124127,-5,0.266608899,0.016504537,0.277806533,0.0026651,0.005061089,0.154892897,0.127390115,-0.042500068,-0.148204051,0.036701374,0.093978017,0.325544505,0.257505801,0.392299318,-5,0.255117626,0.071402526,-5,-1.037499297,-0.148204051,0.062856408,-5,0.281297669,0.036278577,-0.016150753,0.088733738,0.260916231,0.246503153,-0.148204051,0.253506447,-0.148204051,-5,-0.006256136,0.009834688,-0.148204051,0.277805696,0.13567475,-0.148204051,0.147360082,0.000299062,-0.089216405,0.2270089,0.003173959,-1.430240074,-0.187628706,-1.430240074,-1.430240074,0.099109721,0.254026948,0.14470216,-5,-0.148204051,0.262997236,0.277805696,0.055680894,-0.797295874,0.250981383,-1.477379783,-5,-0.101371126,0.02521983,-0.035609571,0.200457461,-5,-0.429709558,-0.006342104,0.25464709,0.093358765,0.056286713,-0.024411375,-0.004428769,-1.600840914,-1.909748517,0.255072516,0.255100813,-0.102508241,-1.430240074,-5,-0.148204051,-0.124112636,-5,-5,-0.372899953,-5,0.244427935,-0.09535682,-5,-5,0.236280035,0.022898567,-0.797295873,-5,0.004609797,-5,-0.797295873,-5,0.258439407,-5,-0.797295873,-5,-0.134094273,0.289095279,-0.267559442,0.038044927,-0.229788113,-2.824157203,-5,-0.148204051,0.316588297,-0.597513212,0.308630952,-0.142878032,0.345860906,0.207081069,-0.040108076,-0.025579489,-1.037499297,-0.148204051,-1.037499297,-5,0.019118246,-0.283004059,0.357007709,-5,0.356067313,0.23918997
Leaf203,-1.629454957,-1.66381792,-5,-5,-1.094024039,-3.756794885,-2.879545437,0.679935671,-1.032311291,-0.923620183,-4.906208928,0.816579607,-5,-5,-1.044379564,1.284660977,1.070001957,1.159105097,-2.494846264,-2.225159794,0.729448088,-4.008070938,-2.418628615,1.169227514,-2.386085331,0.370524206,-2.058545915,0.479093983,-1.534857183,0.94261791,0.755154816,-4.737964919,-2.901227157,-0.08521704,0.694720575,0.578155508,0.316352814,0.785000181,-5,0.702475937,-5,0.43164101,-5,-1.856462998,-0.106337083,-1.663817917,0.956225544,-5,NaN,0.608502096,-1.493892918,-1.853380988,0.199930337,0.931867164,-1.493892919,0.814463473,0.879904791,-2.93955693,-1.807460592,-2.078855419,-1.493892918,-5,-1.862544373,0.051517586,-1.743950933,0.684742393,0.966711495,0.909130487,0.600476335,0.690975912,0.493513469,-0.535689241,0.44184191,-1.602501633,1.063266804,-1.209857162,0.316212069,-5,0.841540331,0.058060182,-5,-5,0.709629552,-5,-1.234177588,-1.856462998,0.308694253,1.106866779,0.793338557,-3.66381792,-5,-3.731417498,0.219865367,0.222601407,0.977773001,0.637331799,-1.481251646,-1.243484279,0.964863678,-3.935770532,1.134390082,-2.295647159,1.2872889,-2.078893555,0.792058722,-0.064034576,-1.078163414,-3.134771615,-5,0.790961588,-1.663817922,0.687427273,0.560689581,-2.036208607,-5,-0.086754408,0.605477492,-5,-1.735223857,-4.109067292,0.779246291,0.584370093,0.989358075,0.70045684,0.337891707,-5,-1.628426158,-5,-2.078855419,0.862630183,-2.251295816,0.551846363,0.4941186,-5,-5,-3.810675463,-5,0.559582466,-1.927241222,-2.555262596,-2.078855418,0.037129631,-0.006631736,-5,0.604784856,0.792631354,-0.222722842,0.314799752,0.109265942,-2.850822285,-0.071595691,0.680456508,-5,-3.422806707,0.140797113,-2.195165401,-5,-5,-5,-1.313321249,-2.628158915,-3.470250613,0.220455358,0.784130267,0.353014727,0.922676654,0.321972141,0.066405817,-2.976808282,-5,-1.493892918,-0.539119708,-1.493892918,0.923293971,-5,1.103780201,0.688387324,1.022655683,-5,-5,-5,-5,0.578108098,0.493533474,-1.988797159,-5,-2.078855419,1.206409133
Leaf205,-2.608424647,-5,0.806969168,0.431978815,-3.618994473,-5,-4.211699243,-0.386277594,-1.42530019,-5,-2.185550493,-0.537326645,0.361231862,-1.653253218,-4.518305359,-2.755809859,-0.975453192,0.364608122,-4.015137849,-2.456349121,-5,-5,-1.565742796,0.363756639,-3.928285999,-1.04590866,-5,-1.394483656,-2.161368266,0.2665547,-0.416468934,-5,-5,-0.195474236,-1.665915307,0.307351925,-5,0.238028402,-5,-1.530994709,-5,-3.112870085,-5,-2.072508639,-1.042896248,0.425129001,0.143155857,-5,-2.788270601,NaN,0.69939439,-5,-5,-0.877789906,-5,-1.172844251,-1.304593437,-5,-5,0.858560584,-5,0.107208521,-1.97167636,-0.032036124,-4.054752257,-5,-0.971116401,-0.739189056,-0.681709159,-0.631988736,-0.204253439,-3.013073721,-0.595226221,-1.425552478,0.185187027,-4.672758106,-5,0.431978815,0.321041994,-0.051997102,1.276600292,-5,-0.831433291,-5,-5,-4.779042338,-5,-0.357714768,-1.529113365,-2.835439662,-5,0.714033878,-0.358275801,-5,-0.967293854,-0.613615945,-5,-5,0.416179007,-5,-1.201092348,-3.906029353,0.24898641,-2.797762492,-5,0.803281889,-2.770434142,-5,-5,0.357385566,0.800117595,-1.241803203,0.020275017,-1.450811166,-2.682480322,-3.183196857,0.230795861,-5,-0.1863354,-5,0.069901193,-0.085283865,-0.07067179,0.096548929,0.381151878,-5,-5,0.108932913,0.431978815,-1.192713392,-5,-0.222637109,0.224962158,-5,-5,0.431978815,-5,0.016639405,-5,-4.448770415,0.564541941,-1.883062898,-5,-5,-0.852929,-1.001395439,-4.86657748,-5,-5,-5,-5,-5,-5,-5,-5,-3.982575005,-5,-0.063417168,-1.151454158,-5,-5,-4.850224022,-0.185300749,-0.096495252,0.32198507,0.088803774,-4.369679817,-0.722226172,-5,-5,-5,-1.64773158,0.681537637,-5,-2.682480322,-1.288215975,-1.608377971,-5,-5,-1.898669143,-5,-5,-0.928127851,0.05821597,-4.006212271,-5,0.431482155,-3.987576596
Leaf208,-0.513041575,-5,0.05021781,-5,-5,-5,-5,0.328434206,-5,-2.712252336,-5,-0.762484861,-5,-2.769733239,-5,-1.709302354,-5,-5,-2.628546228,-5,-1.438478213,-5,-0.569325181,-5,-2.804846207,-0.76596749,-5,0.190642451,-0.607364122,0.323135662,-1.087843124,-5,-5,-0.131320832,-0.464788779,0.325965644,0.072847374,-1.024529772,-0.18242973,0.209003401,-5,-0.869397448,0.161241434,-0.726698864,0.239289459,-4.278638786,0.100277699,-3.384991138,0.040404084,-2.20844544,NaN,-5,-5,0.087830896,-5,-0.163142683,-1.174426675,-5,-5,-2.430075293,-2.322714017,-0.058331575,-0.287707226,-0.000441719,-5,-0.949948343,0.064859215,0.201935231,-0.497429305,0.240188327,-1.10070129,-0.927271226,-5,-1.937425051,0.158434527,-1.005318535,0.261408295,-5,-5,0.180706524,-5,-5,0.188574193,-5,-0.607364122,-3.568780196,0.137241189,-5,0.308056687,-5,-2.120715545,-1.52430322,-1.464574104,-0.202842089,0.030253599,0.057201549,-4.457585673,-5,0.23263615,-5,-0.523115822,-2.813074293,0.113681385,0.105410003,-1.481150013,-1.507131012,-2.910046936,-5,-3.634619788,0.26032618,-0.607364122,-0.464392995,-0.001865482,-0.645694443,0.471949682,-0.769292345,-1.351154966,-3.298091978,-2.365923183,-5,-0.314965377,-0.064430999,-0.430892138,-1.687676633,0.071279102,-5,-1.394810878,0.090402132,-5,0.063997844,-1.396621616,-5,0.217252037,-5,-5,-5,-5,0.024710427,-5,-5,-5,-1.79131996,-5,-5,-0.410180784,-0.812793429,-1.590045222,-5,-0.076231691,-5,-2.147628632,0.205551602,-5,-5,-1.245598657,-5,-5,0.081075812,-5,-5,-5,-5,-0.589780601,0.043419989,-0.148633492,-0.328742165,-0.856782031,-0.451996058,-5,-5,-5,0.271184858,-5,-1.636461712,-5,-1.031371361,-0.767496887,-5,-5,-3.452917497,-5,-5,-0.323916434,-0.964338707,-5,-5,-3.130910983,0.401625441
Leaf21,-0.770414933,0.056091551,0.105696549,-0.539497912,-0.539497912,-5,-5,0.352856676,-0.539497913,-1.363155262,0.117354914,-0.015906995,0.165289256,0.04032732,0.301341043,0.71880088,-5,-1.501970232,-3.546021597,-2.160665363,0.060079882,-5,-2.107940336,-1.502953242,-3.462691031,0.151956283,-0.919105956,0.209039863,-0.539011979,0.076444582,-0.916995251,-0.898343417,-0.787841237,-0.170240357,-0.44030299,0.384779921,0.100490572,-1.665423215,0.17116496,0.195000429,-0.3078082,-0.293961895,-0.030532505,-5,0.200948016,0.02273359,0.08843947,-1.188763948,0.096840186,-5,0.082801122,NaN,-5,-5,-2.10278874,-0.539497912,-0.892552914,-5,-0.930526549,-0.301483095,-0.449644229,-0.238473849,-0.247278654,-5,-1.025439976,-0.112378387,-1.360147337,-2.318341261,-1.357766576,0.261811554,0.143388677,-1.051799994,0.204126137,0.176980668,-2.905580564,-0.408195619,-0.612984081,0.016850282,-1.411812581,-5,0.376169603,-5,-2.883511241,-5,0.037828103,0.092140729,0.129895154,-2.245899711,-2.856939228,0.139087809,-2.69121049,-0.23052902,-0.267619691,0.012445567,0.122952648,0.147187268,-4.94105562,-2.073513913,-5,-5,-3.337870198,-1.145090367,0.077629857,-0.089381762,-0.06662056,-1.070818506,-0.539497912,-5,-3.706514487,0.118821171,0.108759865,-0.539497912,-5,-0.539497912,0.131495089,-0.804052466,-0.242149003,-3.506556215,-1.134879467,-5,-0.554734071,-5,-0.837527191,-2.56999317,-5,-5,-0.539497912,-5,0.076458417,-0.196165436,-3.985732542,-0.626640302,0.262933007,-5,-1.551794323,-0.325489391,0.443587019,-0.014581798,-1.599417876,-5,-0.126852253,-0.539497912,-1.799910061,-5,-0.833255469,-0.007084919,-0.188745513,-5,0.018393295,-5,0.126272174,0.330674069,-0.539497912,-5,-0.756299869,-5,-5,0.16407418,-0.539497912,-0.551167832,-0.813338909,-5,-5,0.056489466,-0.743417969,-1.737174193,-0.209754267,-0.328430885,-5,-0.539497912,0.056447423,0.179433068,0.029504869,-2.403386516,0.093895644,-2.477325922,-0.539497912,-5,-5,-0.420816277,-5,-5,-1.831623156,-0.089030536,0.534528495,-5,-0.539497912,-0.159091654
Leaf210,-4.321968192,-4.634461532,-4.975282222,-4.125012736,-1.338072943,-4.905314157,-5,0.228425153,-0.727552605,-4.449714988,-4.457119807,-0.144035802,-5,-5,-5,0.232419993,-1.470985203,0.181149296,-3.136961618,-3.968104067,-5,-5,-5,0.180511987,-3.034217485,-0.6646521,-5,-4.362004259,1.116370399,0.21131007,-5,-5,1.593936663,-0.089829884,-0.830196793,0.094213456,-0.06623048,-1.15682531,-5,-5,-5,-5,-5,-5,-1.128577049,-4.912771014,0.215319441,-5,-2.607219105,-5,-5,-5,NaN,-0.711005815,-4.908103248,-2.697429394,-2.695571417,-5,-5,-5,-5,0.142663575,-5,-5,1.499387692,-3.940867257,-4.672469899,-0.232144729,-0.385196258,-0.45083912,-0.069386657,-3.855333351,-0.004752743,-5,-0.856003513,-5,0.129531374,1.876915281,-0.35849914,-0.265203114,1.042054576,-5,-0.405530162,-5,-5,-5,-1.35096947,-1.851848968,-2.275472564,-5,-5,-5,-1.724129991,-5,-0.475489977,-0.421253483,-5,-5,0.447406589,-0.519994959,-5,-3.127060976,0.747593011,0.651969831,-5,-4.932454253,-3.229587905,-5,-5,0.358579221,-4.91212556,-1.186073321,-0.166727943,-4.247630283,-4.939563415,-5,0.171919508,-5,-4.538768456,-5,0.066244479,0.125246327,-1.180091172,-0.333992808,-5,-5,-5,-1.274918625,-4.919607052,-5,-5,0.09668723,-5,-5,0.337271458,1.45960169,1.810641667,0.171451113,-5,-2.939624959,-5,-2.188706085,-4.594863672,-5,-0.505432091,-0.090742,-4.470338316,-0.013515814,-1.35096947,-5,-4.410083461,-5,-5,-5,-5,-5,0.758330394,-3.226383054,-4.299301052,-4.009557988,0.087300491,-5,-5,-4.421147465,-0.127929419,0.04280517,-2.242876933,-5,-5,-5,1.443909293,-4.680702945,1.496680608,-5,-1.415902179,-5,-2.473077397,0.345616498,1.524556744,-5,-5,-5,-1.26443236,-1.088190401,-5,-2.720244994,-5,-2.685530744
Leaf216,-5,-5,0.689999603,-0.440054643,-4.91997327,-1.557302198,-5,-0.198614749,-3.354128201,-5,-5,0.108506701,-5,-3.132541153,-3.40195539,0.294638071,-0.328587309,-5,-4.120587924,-5,-0.280215369,-1.557302198,-5,-5,-4.11027531,-1.22846477,0.232018386,-3.593063949,-5,-5,-0.126230379,-4.898294211,0.490705623,-0.131691402,-0.016586018,-5,-5,0.02802447,-5,-5,-5,-5,-5,-5,-1.252445171,1.062831706,-0.083133512,-2.521756456,-2.978558978,-0.163612012,-5,-5,-0.294808711,NaN,-0.450715293,-0.293329014,-5,-5,0.009741187,0.960751195,-1.136891803,-5,-5,-5,-0.571686331,-0.097316237,-2.86326273,-0.789119279,-1.022940355,-0.076744656,-0.046886088,-5,-0.493345904,-5,-1.449296028,-5,-5,-5,-0.011851143,0.013233912,1.241389101,-1.440054643,-0.856049034,-1.440054643,-5,-1.561103627,-0.636965497,-5,-2.659655248,-0.972339698,-1.486025208,-5,-0.162099745,-5,0.014329006,-0.066570021,-5,-0.440054643,0.087141898,-5,-5,-5,-0.065890464,-5,-0.430361722,-5,-4.615866468,-5,-5,-5,0.887773534,0.021876303,-5,-5,-0.733440444,-5,0.094072829,-3.120340249,-5,-5,-5,-0.008815245,0.055566736,0.194965273,-1.289018242,-5,-5,0.014045791,-5,-1.549039408,-5,-0.001413059,-0.042786678,-5,-5,-5,-5,-0.152306002,-5,-5,1.128504954,-0.144253666,-3.822507276,-5,-1.022329055,-0.003210779,-5,-0.110335267,-0.907848993,-5,-5,-0.970341817,-1.557302198,-5,-0.822111329,-5,-5,-0.983257067,-1.894192033,-5,-0.196093197,-5,-5,-5,0.225738658,0.027243524,-2.438468866,-4.843141878,-5,-1.557302198,0.975099058,-5,0.938608376,-5,-0.496410742,-1.440054643,-0.495155925,-5,0.730329421,-3.189590122,-1.557302198,-1.557302198,-0.89466363,-0.234476385,-5,-1.557302198,-5,-0.531765933
Leaf22,-5,0.016359375,0.131671484,-0.22177284,-5,-5,-5,-0.22177284,-5,-0.22177284,-0.22177284,-2.429829412,-0.22177284,-2.183353105,0.304197469,-0.16283849,-2.07152584,-1.555203959,-4.331757901,-5,0.207671292,-5,-2.395879698,-1.555203959,-4.344391428,0.192002281,-0.766378632,0.214163623,-5,-0.569722909,-0.00293586,-0.092323092,-0.918920331,-0.088354105,-3.161461044,-1.503220888,0.177794952,-1.976250393,0.033969496,-3.241604934,-0.22177284,-0.346047005,0.033972593,0.130566373,0.213100083,-0.22177284,0.292524864,-1.110681588,0.067725728,0.131671666,0.116832349,-0.22177284,0.15628826,-0.22177284,NaN,-1.564534875,-3.150683562,-5,-0.866578709,0.09201719,0.213638646,0.169541198,-5,-5,-1.218819775,0.130429338,-2.720988148,-2.196562027,-2.140111427,-2.048176463,-0.22177284,-0.22177284,-2.1068502,-0.22177284,-2.813258853,-0.568172982,-1.114889739,-0.22177284,-1.304739043,-2.413768798,-0.22177284,-5,-2.730977464,-5,-5,0.161402342,0.16900549,-2.205166745,-2.822305993,-0.22177284,-3.095805604,0.207322384,-1.500244325,-1.590778473,-2.351379183,-2.124152855,-5,-2.373308359,-0.838044324,-5,-3.229487389,-4.207979873,0.1700512,-5,0.081843505,-2.761598051,-4.292694521,-5,-4.634113792,-0.558453027,0.138176058,-2.616492621,0.099491308,-5,0.147911921,-0.816376123,0.351240493,-4.430756161,-0.976312425,-5,-1.045323626,-0.274825214,-1.645867601,-3.202861261,0.091007675,-5,0.206307475,0.141888808,-5,-0.96966331,-5,0.072829565,0.331560771,-5,-1.551367069,-0.369755928,0.521832549,0.082494404,-5,-5,-0.22177284,-2.017031968,-5,-5,-0.755087493,-2.396781578,0.186825471,0.030158429,0.043946208,-5,0.118235458,-2.474428042,-5,-5,-0.765625596,-5,-5,-2.685951857,-5,-5,-5,-5,-1.718329937,0.015821899,-0.545471259,-1.63108822,-2.790610763,-0.22177284,-5,-5,0.015840399,-3.050947455,-5,-3.147424128,0.109959331,-3.103733778,-3.052094337,0.581425825,-5,-0.354720304,-5,-5,-1.741098437,-2.74162128,0.609908036,-5,0.101218503,-0.22177284
Leaf220,-2.845521039,-4.284793238,-5,1.669348784,-3.304120189,0.73512166,-2.929354329,-0.003998895,-3.365128745,-3.377533581,1.276176888,0.401374077,0.881340203,-1.747867485,-2.683000551,1.068434997,1.140389668,1.21838916,-3.068405933,-3.411946975,-0.937125304,-5,-3.567503718,1.217436508,-3.078296495,-1.096875706,1.177552426,0.270132059,-2.606195358,1.528717234,-5,-4.504638917,1.102980397,-0.033162671,-0.12439442,0.778017351,-5,0.974167886,-5,-1.71632115,-5,-0.308004428,-5,-3.710549789,-0.908147469,1.577731206,-0.775860955,-5,-2.015926812,0.570211286,0.316313773,0.90291191,0.871750889,0.502848974,1.540609709,NaN,-0.039831713,-2.404571653,0.383485375,1.478920797,-5,1.048328104,-2.249275215,0.887655247,-0.877136118,0.894419162,1.233261643,0.052923248,0.132822349,0.285077949,0.293437224,-0.341182505,0.38154056,-1.572335965,0.271628366,-3.542315692,1.136091356,1.951513114,-5,0.831178115,0.936534826,-5,0.055619563,-5,-4.204266553,-5,-0.141022783,1.104569181,0.110402624,0.94551827,-3.9078081,1.773297936,0.730519363,0.990388884,1.166532131,0.30593409,-2.926205783,0.383680165,0.73167095,-4.935790204,-0.137997044,-2.104675841,0.682892838,-3.505935424,1.040457512,-0.445612701,-0.374871232,-3.482076313,-5,1.063939589,1.24573192,0.314370759,-5,-2.57337622,-5,-3.323291663,1.011112575,-5,-0.687715793,-2.806226525,1.027661806,0.326442416,1.180235134,0.757195351,-0.185242176,-5,-4.059224236,0.732655511,-4.130666519,0.808931691,-4.441418476,0.506558008,0.30695083,-5,1.641690381,1.811895971,1.858685856,-1.580041526,-2.9062021,-2.946074644,1.576580292,-0.68222645,-3.041588244,-5,-0.370009229,0.133684301,-3.884388974,-5,-0.013970496,-4.72084051,-3.673831363,-0.748990351,-5,-3.234030297,-1.148769807,-5,-5,-0.387918114,1.485242892,-3.395717967,-4.803640946,-4.773606194,0.644373533,-2.683107486,1.203170267,0.850845989,-0.252581786,-0.492440044,-4.234536607,-5,1.477158452,-0.468724844,1.720642825,-5,1.236429805,-0.125394225,-0.917165044,1.22861141,1.294452951,-5,-5,-5,0.254082429,0.915026615,-4.358204536,-5,1.164681982,-2.469051636
