"","B[1,1]","B[2,1]","B[3,1]","B[4,1]","B[5,1]","B[6,1]","B[7,1]","B[1,2]","B[2,2]","B[3,2]","B[4,2]","B[5,2]","B[6,2]","B[7,2]","B[1,3]","B[2,3]","B[3,3]","B[4,3]","B[5,3]","B[6,3]","B[7,3]","B[1,4]","B[2,4]","B[3,4]","B[4,4]","B[5,4]","B[6,4]","B[7,4]","B[1,5]","B[2,5]","B[3,5]","B[4,5]","B[5,5]","B[6,5]","B[7,5]","B[1,6]","B[2,6]","B[3,6]","B[4,6]","B[5,6]","B[6,6]","B[7,6]","B[1,7]","B[2,7]","B[3,7]","B[4,7]","B[5,7]","B[6,7]","B[7,7]"
"1",-0.366254398931394,-0.196901476872746,-0.0337708326117679,0.228157092643108,-0.0786428593908577,-0.261034958501574,-0.279684802407978,0.278206997533002,-1.90087921130321,-0.478003216141686,0.0470512690490677,-0.368140631327505,0.105799891247642,0.174586316396972,0.0754764097915764,-0.120891327355971,-2.29066499608987,-0.83646661576333,-0.13994049292336,0.162735605074002,-0.222757026360832,-0.174020520323322,-0.154458588253187,0.073071662503225,-0.565481296031589,-0.234627499715625,-0.0497324881371002,-0.0989022889649143,-0.402674468932592,-0.401194687088014,-0.391810996573272,0.0182164684040529,-0.566266883926365,-0.273234314618712,-0.248546879583248,-0.230791561045448,0.244122710152706,0.0174898535737351,0.663385547537538,0.0439091825852844,-1.23253115633087,-0.370623669903321,0.71832323594083,-0.114183037589218,0.0494761103238044,0.592333631931007,-0.0423487525282942,-0.299009367527899,-1.07148386133615
"2",-0.365020243333604,-0.191399637988276,-0.0111200775946284,0.248826527173168,-0.0705525318068932,-0.268916844329392,-0.269739449063654,0.631928541571216,-1.92152654399845,-0.424985446012653,0.00130435693385941,-0.378331633559275,0.495825895493874,0.338996520043051,0.128512622059049,-0.124747128115605,-2.63250728368846,-0.888202809410074,-0.102196909085983,0.0992763313387587,-0.144847321924221,-0.172082187267268,-0.150641417030841,0.185155688626485,-0.567306235148007,-0.235481424996017,-0.0798819925141435,-0.12241465383086,-0.363633349644333,-0.358963793844473,-0.332183166869602,0.0579152600237234,-0.535006516613813,-0.270156202962959,-0.210301439250845,-0.35087978634269,0.196962415312041,-0.0194044139199749,0.569802611010144,0.0810644729442768,-1.17660572345774,-0.422293022445591,0.735964459755438,-0.145389791516786,-0.0234898348901511,0.585950074224461,-0.0689977294203932,-0.198163000383509,-1.20208965834689
"3",-0.369342475392484,-0.197575880054107,-0.0231775207407381,0.212205713915141,-0.0799937888242076,-0.23719804787438,-0.261407182923561,0.857777338775553,-1.93249006707388,-0.403385637732251,0.0243708447994782,-0.318678058968186,0.142002414185413,0.391420991705887,0.142142845147832,-0.110539063136347,-2.28326610180755,-0.809089451026952,-0.123773118189258,-0.0922153103690655,-0.16197049087722,-0.181847771174263,-0.13269419747987,0.127448820136149,-0.548106013871628,-0.23303583978785,-0.0807616463804712,-0.102660303728693,-0.412306636020525,-0.377236190987761,-0.36355187239581,-0.0497690840453049,-0.538691191499724,-0.300915413327754,-0.23615621969822,-0.226039982427919,0.209914845772437,-0.0795250164352014,0.526167785696966,0.0617034955458301,-1.01797101980405,-0.469506285199388,0.870042444155237,-0.0810725514102675,0.0631227270646665,0.699718391329319,-0.0508357946386888,-0.431404472570332,-1.17922480351574
"4",-0.384806972540055,-0.182893225492775,0.011258594912813,0.281901022336397,-0.0678858480451519,-0.255243849758193,-0.27678869939766,0.649056758655366,-1.99043014275105,-0.358252052339422,-0.198515664846227,-0.248839405409208,0.421765085488647,0.594769572262601,0.0868164727745909,-0.093255724153309,-2.63306863060452,-0.786586533111414,-0.120045775006475,0.107683067287717,-0.0720695436087305,-0.177216788525719,-0.158611066647147,0.148196847315522,-0.580226329761286,-0.229873052269353,-0.0620992568242412,-0.10398930036219,-0.387950750028185,-0.371855681474903,-0.361540018013846,0.156422617570173,-0.536990614895925,-0.285770056475452,-0.215979213468036,-0.293433501686215,0.23820462206128,0.0743911243711808,0.697939959706898,-0.00712740653379241,-1.31360249518772,-0.55262461332646,1.33400335208193,-0.0708086772045143,0.127330496966907,0.536090300398984,0.0494028462104033,-0.0574907359606443,-1.16681487507819
"5",-0.390394259074727,-0.20452567411242,-0.00676115843926703,0.296972432446142,-0.0520005414454503,-0.279977109999078,-0.292827743376098,0.582270510728696,-1.89320085576156,-0.439110761397094,0.174014897576402,-0.152332036663353,0.365064594397521,0.318124895022933,0.168072161772333,-0.104075051169209,-2.39595498814602,-0.826516437406581,0.0551387375575057,0.127883126065032,-0.0522107146130834,-0.163236915610868,-0.141857912124469,0.137902510557119,-0.602039212832766,-0.238333375659686,-0.0906419806076302,-0.11058692518941,-0.352234010468279,-0.343013036940232,-0.348985131940642,0.0867377940060138,-0.535165017899997,-0.264065407408434,-0.226014435257485,-0.489277304311311,0.186512324784894,-0.0116479942319025,0.658654846508098,-0.0580068800604532,-1.20597804468445,-0.51354836017186,0.858432777896781,-0.221608993859417,-0.000790899150971317,0.501880002019186,-0.10642338899592,-0.0755294082136791,-1.08514316804341
"6",-0.392157362766827,-0.203146065754483,0.0271134855865162,0.327348369386087,-0.0135670435409442,-0.271924116069563,-0.277936617360193,0.639446195170925,-2.16944166538929,-0.470878359629488,0.219534875510163,-0.282716600548789,0.15479511627253,0.17884271590366,0.244494363310152,-0.191097714354899,-2.85302331600957,-0.82113624967673,-0.00196285071096201,0.151129628439035,-0.0569234981976979,-0.193048611825078,-0.135428888937617,0.203265222617264,-0.599352898344199,-0.258005884446403,-0.0918715222985684,-0.099762447742391,-0.364270734768463,-0.349211552589093,-0.340386003292994,0.0596597702953689,-0.559199543226193,-0.265906494634936,-0.217112702788257,-0.231942429118201,0.227115810575658,0.040947649198024,0.860431453664866,0.076458829187681,-1.1065071123817,-0.521255095171267,0.962436193586321,0.00672442337151276,0.17359479591669,0.619120514602562,0.126438899870092,-0.279158217909094,-1.15089726392724
"7",-0.364460963596221,-0.194604319089722,0.00682734153041083,0.27063793757751,-0.0531534554848197,-0.242760908450783,-0.270088613148095,0.320901232369031,-2.11567713053009,-0.313036793495126,0.00487385449130261,-0.458139823691069,0.0354633162908346,-0.0191990994166193,0.0964894819947369,-0.167418999974324,-2.65058329262367,-0.948323947684416,-0.342619758495808,0.0789802971963888,-0.0824452582538588,-0.184671004473558,-0.151076165591442,0.128519871102982,-0.580326632169213,-0.230325621191997,-0.0647806896428528,-0.107828873966228,-0.407236464999398,-0.384428301562259,-0.373431899659625,0.0697202243522713,-0.55464429548942,-0.308560824984733,-0.255448085392372,-0.234907078290476,0.199203148682842,0.00062624950674788,0.69008417885645,0.025110937150824,-1.17190765684947,-0.40274902833599,1.00117423944252,0.0214813980985883,0.125357829549246,0.699506224713612,0.079754101537,-0.100007504360001,-1.05955190055818
"8",-0.34007789388811,-0.190228498706889,-0.0158654236003862,0.346326886600825,-0.0423388743332587,-0.252605000562228,-0.265747646440171,0.331173819952829,-2.0734907631914,-0.499168847255964,-0.107698318886153,-0.477617225600257,0.206676888047608,0.290201101225353,-0.0480525882134843,-0.162687987526427,-2.48546011369159,-0.965934909510756,-0.267897366329377,0.0606952432473721,-0.238944544697537,-0.18532485552047,-0.155497366855009,0.118049596393744,-0.585552744030654,-0.23720049066154,-0.0927710680602371,-0.110764431099667,-0.382304773034089,-0.372871900544481,-0.34526787893624,0.0625593940610578,-0.524008020246237,-0.293355166432619,-0.257168752613018,-0.282923728206684,0.239876219019079,-0.0372161066750017,0.621838389162877,0.0264344550110177,-1.0982515154672,-0.420853652312716,0.62475685313169,-0.0134019057750185,0.0540978360341139,0.734021437318565,0.00841630333039217,-0.154893555677136,-1.01705370681519
"9",-0.348865524215371,-0.196301656458574,0.00673365670000125,0.326580179020115,-0.0010874163790924,-0.261059677714573,-0.26804013357537,0.263381583163978,-2.21168249922523,-0.444345096412231,-0.0759553620413303,-0.263681966166954,0.153645491421397,0.057766624384202,0.0365313963792945,-0.0703563265724687,-2.82617514671248,-0.933491277276956,-0.0873448971903951,0.0343148877693213,-0.185649399880655,-0.195661488396524,-0.138559987386569,0.15465513546324,-0.564642966315739,-0.260184788666447,-0.089287755737973,-0.104294430572471,-0.355335839318694,-0.336331799032427,-0.308213121223592,0.0806572167229434,-0.542208872487775,-0.264831592301308,-0.245611368601824,-0.163736170136904,0.231202879977367,0.0499211774884644,0.658916919693429,0.153552627092515,-1.01167306128696,-0.420983923124779,0.723188902300097,0.00202602239110834,0.1204002757923,0.527810820348445,0.13388328627882,-0.402671444199755,-1.05372505452854
"10",-0.366031652780357,-0.218858259640818,-0.0300360249632397,0.311798069113533,-0.0601055845804727,-0.263327518141902,-0.28174192050085,0.199979061292751,-2.1020639396143,-0.414079968830421,0.0321898035819367,-0.27723410807481,-0.00205358340526474,0.148647037228143,0.0695789460235963,-0.00341216887255981,-2.52428602507449,-0.916642994971757,-0.165074773861198,-0.102641690562438,-0.148356797840312,-0.186223912299668,-0.160572621298231,0.11729558666666,-0.59594307103368,-0.231993844591007,-0.0915265467629248,-0.124357126072573,-0.391310837200415,-0.370459337222066,-0.362025618754066,0.194036849967031,-0.563674879019938,-0.281398034291359,-0.216270754252699,-0.158635019902518,0.228789410751147,-0.000160571021949678,0.680585729592212,0.0724157566364884,-0.971639682114645,-0.402526064166401,0.7959667639254,0.113508229748585,0.149487180506235,0.625834166680649,0.16268541486584,-0.170896690752549,-1.10025511470762
